,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
05/13,252.0,259.0,257.0,261.0,258.0,251.0,261.0,259.0,262.0,256.0,261.0,261.0,261.0,259.0,261.0,261.0
05/14,256.0,266.0,255.0,261.0,261.0,252.0,260.0,274.0,262.0,261.0,249.0,251.0,265.0,266.0,259.0,260.0
05/15,257.0,270.0,250.0,265.0,260.0,257.0,261.0,270.0,265.0,266.0,259.0,250.0,261.0,257.0,255.0,261.0
05/16,252.0,263.0,253.0,258.0,261.0,248.0,258.0,267.0,258.0,264.0,258.0,251.0,264.0,261.0,248.0,261.0
05/17,255.0,266.0,255.0,258.0,258.0,261.0,260.0,261.0,248.0,270.0,261.0,246.0,262.0,265.0,253.0,255.0
05/18,259.0,261.0,255.0,258.0,256.0,252.0,266.0,261.0,261.0,262.0,265.0,249.0,265.0,261.0,262.0,258.0
05/19,262.0,263.0,257.0,260.0,260.0,261.0,266.0,276.0,255.0,273.0,260.0,241.0,263.0,259.0,261.0,253.0
05/20,258.0,254.0,262.0,254.0,255.0,260.0,266.0,266.0,261.0,269.0,262.0,261.0,264.0,270.0,261.0,248.0
05/21,255.0,254.0,262.0,261.0,261.0,258.0,270.0,261.0,260.0,272.0,252.0,252.0,272.0,262.0,261.0,254.0
05/22,261.0,259.0,253.0,263.0,254.0,258.0,261.0,267.0,265.0,262.0,257.0,241.0,261.0,259.0,266.0,261.0
05/23,260.0,271.0,263.0,258.0,261.0,261.0,269.0,274.0,265.0,261.0,257.0,244.0,270.0,261.0,256.0,252.0
05/24,264.0,266.0,259.0,262.0,261.0,261.0,261.0,272.0,259.0,265.0,261.0,244.0,270.0,269.0,260.0,261.0
05/25,265.0,283.0,256.0,262.0,257.0,259.0,270.0,261.0,259.0,259.0,262.0,246.0,269.0,261.0,260.0,260.0
05/26,264.0,275.0,259.0,270.0,262.0,261.0,273.0,273.0,259.0,271.0,261.0,242.0,261.0,277.0,261.0,260.0
05/27,261.0,269.0,264.0,270.0,258.0,264.0,261.0,266.0,261.0,266.0,262.0,261.0,263.0,278.0,270.0,268.0
05/28,261.0,262.0,255.0,276.0,255.0,261.0,268.0,271.0,259.0,270.0,258.0,246.0,261.0,268.0,261.0,269.0
05/29,254.0,260.0,257.0,277.0,257.0,257.0,270.0,264.0,266.0,267.0,260.0,261.0,261.0,268.0,274.0,261.0
05/30,251.0,252.0,260.0,273.0,261.0,252.0,260.0,264.0,260.0,261.0,255.0,261.0,267.0,270.0,262.0,264.0
05/31,254.0,257.0,256.0,269.0,261.0,257.0,261.0,266.0,255.0,277.0,263.0,261.0,261.0,266.0,267.0,261.0
06/01,250.0,256.0,260.0,265.0,265.0,241.0,266.0,261.0,264.0,272.0,258.0,261.0,262.0,265.0,253.0,265.0
06/02,253.0,262.0,263.0,261.0,256.0,265.0,259.0,277.0,270.0,271.0,265.0,265.0,266.0,268.0,254.0,266.0
06/03,248.0,260.0,265.0,263.0,258.0,256.0,260.0,265.0,269.0,261.0,261.0,265.0,261.0,265.0,258.0,257.0
06/04,258.0,263.0,269.0,266.0,263.0,265.0,254.0,265.0,270.0,268.0,257.0,265.0,257.0,270.0,265.0,259.0
06/05,255.0,268.0,263.0,272.0,261.0,265.0,269.0,265.0,265.0,268.0,266.0,265.0,267.0,266.0,269.0,266.0
06/06,254.0,269.0,261.0,274.0,256.0,264.0,275.0,273.0,270.0,265.0,263.0,265.0,275.0,260.0,265.0,261.0
06/07,256.0,268.0,254.0,274.0,249.0,265.0,265.0,265.0,279.0,267.0,265.0,265.0,265.0,259.0,266.0,267.0
06/08,253.0,269.0,256.0,268.0,265.0,267.0,268.0,270.0,275.0,265.0,266.0,265.0,269.0,265.0,262.0,269.0
06/09,264.0,270.0,262.0,273.0,252.0,265.0,272.0,270.0,263.0,268.0,274.0,265.0,264.0,265.0,268.0,267.0
06/10,260.0,266.0,266.0,274.0,253.0,270.0,271.0,265.0,269.0,261.0,280.0,265.0,267.0,265.0,271.0,271.0
06/11,261.0,269.0,269.0,272.0,263.0,268.0,267.0,265.0,266.0,262.0,265.0,265.0,269.0,267.0,265.0,260.0
06/12,264.0,266.0,268.0,271.0,254.0,262.0,267.0,260.0,265.0,259.0,271.0,265.0,268.0,268.0,266.0,271.0
06/13,261.0,266.0,268.0,262.0,262.0,265.0,255.0,272.0,277.0,265.0,267.0,265.0,263.0,271.0,265.0,266.0
06/14,267.0,271.0,262.0,271.0,266.0,262.0,265.0,258.0,278.0,265.0,270.0,265.0,265.0,262.0,267.0,267.0
06/15,267.0,266.0,257.0,273.0,265.0,260.0,258.0,264.0,271.0,265.0,269.0,262.0,268.0,267.0,264.0,275.0
06/16,260.0,265.0,256.0,277.0,268.0,266.0,265.0,267.0,273.0,263.0,272.0,261.0,265.0,267.0,263.0,267.0
06/17,259.0,265.0,254.0,275.0,265.0,268.0,259.0,264.0,270.0,256.0,266.0,262.0,267.0,265.0,256.0,274.0
06/18,261.0,264.0,249.0,271.0,260.0,265.0,259.0,261.0,269.0,263.0,265.0,261.0,260.0,266.0,255.0,267.0
06/19,262.0,266.0,249.0,270.0,261.0,265.0,265.0,265.0,265.0,263.0,272.0,267.0,268.0,265.0,255.0,267.0
06/20,264.0,263.0,260.0,268.0,261.0,265.0,255.0,265.0,270.0,266.0,273.0,263.0,257.0,265.0,265.0,261.0
06/21,266.0,265.0,253.0,259.0,264.0,260.0,259.0,269.0,265.0,260.0,276.0,265.0,265.0,261.0,267.0,262.0
06/22,269.0,270.0,261.0,265.0,269.0,263.0,255.0,271.0,271.0,265.0,276.0,261.0,259.0,262.0,265.0,264.0
06/23,268.0,270.0,249.0,267.0,256.0,257.0,265.0,263.0,266.0,256.0,272.0,266.0,265.0,264.0,261.0,267.0
06/24,263.0,266.0,259.0,263.0,263.0,247.0,264.0,258.0,268.0,265.0,278.0,264.0,267.0,265.0,267.0,262.0
06/25,262.0,265.0,263.0,272.0,262.0,265.0,259.0,261.0,264.0,268.0,265.0,257.0,262.0,274.0,266.0,267.0
06/26,255.0,272.0,268.0,261.0,261.0,256.0,262.0,265.0,270.0,263.0,273.0,265.0,262.0,265.0,270.0,263.0
06/27,260.0,268.0,258.0,266.0,267.0,265.0,265.0,270.0,275.0,266.0,265.0,260.0,265.0,267.0,265.0,272.0
06/28,262.0,272.0,256.0,265.0,260.0,255.0,273.0,271.0,265.0,254.0,274.0,265.0,265.0,270.0,273.0,274.0
06/29,265.0,274.0,257.0,271.0,267.0,265.0,266.0,273.0,274.0,263.0,268.0,255.0,261.0,268.0,265.0,269.0
06/30,259.0,267.0,260.0,270.0,254.0,272.0,266.0,263.0,276.0,266.0,268.0,265.0,265.0,269.0,263.0,267.0
07/01,260.0,268.0,258.0,264.0,269.0,266.0,267.0,275.0,271.0,269.0,263.0,258.0,268.0,280.0,268.0,275.0
07/02,256.0,264.0,269.0,265.0,267.0,269.0,269.0,273.0,274.0,262.0,261.0,259.0,269.0,263.0,259.0,274.0
07/03,258.0,259.0,252.0,274.0,269.0,267.0,272.0,269.0,275.0,259.0,262.0,263.0,270.0,269.0,257.0,271.0
07/04,263.0,264.0,255.0,275.0,263.0,269.0,268.0,269.0,277.0,264.0,269.0,256.0,256.0,276.0,260.0,274.0
07/05,256.0,267.0,269.0,273.0,261.0,268.0,274.0,269.0,273.0,258.0,286.0,260.0,259.0,269.0,261.0,274.0
07/06,265.0,265.0,257.0,276.0,261.0,269.0,267.0,269.0,269.0,266.0,276.0,263.0,261.0,280.0,269.0,263.0
07/07,257.0,267.0,251.0,268.0,257.0,273.0,269.0,263.0,269.0,262.0,274.0,269.0,265.0,272.0,267.0,266.0
07/08,268.0,272.0,262.0,264.0,264.0,274.0,265.0,267.0,276.0,269.0,280.0,272.0,257.0,271.0,269.0,262.0
07/09,266.0,270.0,258.0,271.0,266.0,271.0,269.0,264.0,279.0,270.0,277.0,263.0,269.0,267.0,271.0,274.0
07/10,268.0,267.0,259.0,269.0,269.0,278.0,266.0,281.0,286.0,269.0,272.0,263.0,269.0,269.0,262.0,267.0
07/11,268.0,270.0,269.0,276.0,262.0,269.0,259.0,266.0,282.0,273.0,269.0,260.0,266.0,271.0,263.0,274.0
07/12,264.0,270.0,258.0,274.0,271.0,274.0,262.0,269.0,278.0,272.0,273.0,266.0,264.0,269.0,261.0,275.0
07/13,274.0,274.0,251.0,273.0,267.0,274.0,260.0,263.0,274.0,276.0,269.0,267.0,261.0,279.0,269.0,273.0
07/14,264.0,274.0,250.0,269.0,265.0,267.0,261.0,267.0,269.0,273.0,274.0,269.0,265.0,288.0,269.0,281.0
07/15,265.0,272.0,264.0,275.0,267.0,269.0,259.0,271.0,281.0,270.0,275.0,264.0,262.0,271.0,269.0,278.0
07/16,260.0,275.0,262.0,279.0,257.0,261.0,269.0,271.0,276.0,271.0,272.0,269.0,269.0,266.0,269.0,274.0
07/17,260.0,271.0,256.0,277.0,269.0,262.0,271.0,270.0,281.0,269.0,274.0,271.0,264.0,267.0,284.0,278.0
07/18,258.0,269.0,257.0,278.0,270.0,268.0,269.0,267.0,278.0,265.0,282.0,267.0,269.0,265.0,278.0,274.0
07/19,254.0,270.0,261.0,268.0,269.0,265.0,260.0,273.0,281.0,265.0,271.0,263.0,263.0,269.0,272.0,275.0
07/20,265.0,272.0,265.0,281.0,264.0,269.0,261.0,264.0,287.0,273.0,269.0,263.0,260.0,275.0,263.0,275.0
07/21,269.0,277.0,272.0,273.0,273.0,273.0,265.0,269.0,269.0,276.0,274.0,275.0,265.0,269.0,268.0,279.0
