,354nm,388nm,500nm
151124,0.936,0.945,0.958
151125,0.936,0.945,0.958
151126,0.936,0.945,0.958
151127,0.936,0.945,0.958
151128,0.936,0.945,0.958
151129,0.936,0.945,0.958
151130,0.936,0.945,0.958
151201,0.934,0.942,0.955
151202,0.934,0.942,0.955
151203,0.961,0.972,0.982
151204,0.934,0.942,0.955
151205,0.934,0.942,0.955
151206,0.934,0.942,0.955
151207,0.964,0.968,0.975
151208,0.934,0.942,0.955
151209,0.934,0.942,0.955
151210,0.934,0.942,0.955
151211,0.934,0.942,0.955
151212,0.934,0.942,0.955
151213,0.934,0.942,0.955
151214,0.934,0.942,0.955
151215,0.934,0.942,0.955
151216,0.934,0.942,0.955
151217,0.934,0.942,0.955
151218,0.934,0.942,0.955
151219,0.934,0.942,0.955
151220,0.934,0.942,0.955
151221,0.934,0.942,0.955
151222,0.934,0.942,0.955
151223,0.934,0.942,0.955
151224,0.934,0.942,0.955
151225,0.934,0.942,0.955
151226,0.934,0.942,0.955
151227,0.934,0.942,0.955
151228,0.934,0.942,0.955
151229,0.934,0.942,0.955
151230,0.934,0.942,0.955
151231,0.934,0.942,0.955
160101,0.942,0.948,0.96
160102,0.942,0.948,0.96
160103,0.942,0.948,0.96
160104,0.942,0.948,0.96
160105,0.959,0.963,0.972
160106,0.958,0.962,0.971
160107,0.942,0.948,0.96
160108,0.926,0.934,0.949
160109,0.942,0.948,0.96
160110,0.942,0.948,0.96
160111,0.942,0.948,0.96
160112,0.942,0.948,0.96
160113,0.942,0.948,0.96
160114,0.942,0.948,0.96
160115,0.942,0.948,0.96
160116,0.942,0.948,0.96
160117,0.942,0.948,0.96
160118,0.942,0.948,0.96
160119,0.942,0.948,0.96
160120,0.942,0.948,0.96
160121,0.959,0.963,0.972
160122,0.942,0.948,0.96
160123,0.942,0.948,0.96
160124,0.942,0.948,0.96
160125,0.942,0.948,0.96
160126,0.942,0.948,0.96
160127,0.942,0.948,0.96
160128,0.927,0.935,0.95
160129,0.942,0.948,0.96
160130,0.942,0.948,0.96
160131,0.942,0.948,0.96
160201,0.938,0.946,0.958
160202,0.938,0.946,0.958
160203,0.938,0.946,0.958
160204,0.938,0.946,0.958
160205,0.938,0.946,0.958
160206,0.938,0.946,0.958
160207,0.995,0.996,0.997
160208,0.938,0.946,0.958
160209,0.952,0.957,0.967
160210,0.938,0.946,0.958
160211,0.938,0.946,0.958
160212,0.938,0.946,0.958
160213,0.926,0.933,0.949
160214,0.929,0.937,0.951
160215,0.938,0.946,0.958
160216,0.958,0.962,0.971
160217,0.938,0.946,0.958
160218,0.938,0.946,0.958
160219,0.938,0.946,0.958
160220,0.938,0.946,0.958
160221,0.938,0.946,0.958
160222,0.938,0.946,0.958
160223,0.938,0.946,0.958
160224,0.938,0.946,0.958
160225,0.938,0.946,0.958
160226,0.938,0.946,0.958
160227,0.938,0.946,0.958
160228,0.938,0.946,0.958
160301,0.938,0.946,0.958
160302,0.936,0.942,0.956
160303,0.936,0.942,0.956
160304,0.936,0.942,0.956
160305,0.936,0.942,0.956
160306,0.936,0.942,0.956
160307,0.936,0.942,0.956
160308,0.936,0.942,0.956
160309,0.936,0.942,0.956
160310,0.944,0.95,0.962
160311,0.936,0.942,0.956
160312,0.936,0.942,0.956
160313,0.936,0.942,0.956
160314,0.936,0.942,0.956
