,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
06/22,244.756,258.122,239.956,249.828,251.644,246.211,259.567,250.478,272.375,249.828,248.433,249.867,255.967,245.5,244.022,253.256,
06/23,252.133,260.222,246.211,262.633,249.522,244.833,251.0,247.244,263.522,257.5,247.878,247.078,246.586,249.467,244.2,249.828,
06/24,247.511,264.733,243.967,253.056,237.8,250.456,250.733,249.828,259.3,251.433,248.667,252.0,258.667,249.828,253.333,245.433,
06/25,243.667,261.533,251.611,265.243,251.333,248.111,251.333,258.933,261.933,253.288,249.828,247.311,247.644,257.0,244.422,253.611,
06/26,250.411,263.544,251.089,264.244,249.833,250.767,249.828,226.3,249.828,253.3,249.933,248.256,248.133,242.014,247.144,243.929,
06/27,251.733,254.856,251.4,255.867,247.533,249.828,251.022,248.989,263.7,250.578,247.989,249.867,249.856,252.011,249.828,248.356,
06/28,245.444,256.011,248.867,253.4,258.556,249.4,250.111,250.833,249.957,250.667,239.7,249.828,254.733,247.411,257.967,237.767,
06/29,249.828,257.967,253.811,250.211,249.828,243.1,244.322,249.378,259.133,249.828,245.867,248.9,254.556,247.933,241.143,250.033,
06/30,252.344,259.789,242.967,261.133,256.811,248.275,249.828,253.089,246.633,265.744,241.7,246.6,249.828,250.878,255.111,249.828,
07/01,246.389,254.144,239.5,257.333,254.937,242.289,252.567,252.567,242.256,253.367,244.4,244.038,251.367,263.433,250.644,259.433,
07/02,248.333,255.278,242.044,260.756,258.7,254.937,247.844,252.456,253.578,253.589,254.937,247.844,248.656,249.4,254.937,250.514,
07/03,248.7,257.433,250.311,262.944,245.844,253.133,245.113,254.937,247.922,253.0,260.067,244.967,244.8,254.937,252.156,257.656,
07/04,247.989,244.378,237.511,260.778,253.089,254.937,251.8,250.167,258.8,253.189,244.067,248.3,245.178,249.7,275.644,242.978,
07/05,247.689,248.967,254.937,263.411,249.4,269.233,254.937,255.878,254.937,254.278,252.978,254.937,243.456,251.622,252.922,253.756,
07/06,240.456,238.922,247.678,264.556,258.167,254.389,253.444,248.637,253.667,242.733,261.922,260.233,250.667,252.937,254.937,253.633,
07/07,248.4,245.667,248.189,266.756,254.433,252.333,254.937,253.622,257.122,253.456,252.633,249.657,254.937,251.7,247.8,270.656,
07/08,250.411,244.722,244.756,268.3,253.5,246.344,262.9,246.133,262.575,254.937,256.1,253.678,268.333,249.322,241.044,251.478,
07/09,253.889,248.422,249.278,267.433,253.244,258.533,246.229,250.067,264.022,265.7,243.344,252.156,261.743,248.133,250.025,254.937,
07/10,249.9,248.7,245.4,264.6,254.937,259.033,251.811,254.937,255.311,262.944,252.367,252.767,258.6,254.937,252.589,253.633,
07/11,253.4,249.744,239.378,304.625,251.533,254.937,252.978,261.5,257.633,256.033,254.937,255.222,253.111,262.233,239.256,255.933,
07/12,255.822,251.322,243.733,263.011,251.756,251.578,254.937,246.933,254.937,251.444,254.767,253.844,261.844,245.257,245.978,250.257,
