Dates,354nm,388nm,500nm
2016-10-23,,,
2016-10-24,,,
2016-10-25,0.544,0.469,0.295
2016-10-26,,,
2016-10-27,0.436,0.376,0.236
2016-10-28,0.39,0.336,0.211
2016-10-29,0.15,0.131,0.087
2016-10-30,,,
2016-10-31,0.124,0.108,0.069
2016-11-01,0.797,0.688,0.433
2016-11-02,0.196,0.169,0.106
2016-11-03,0.519,0.447,0.281
2016-11-04,,,
2016-11-05,,,
2016-11-06,,,
2016-11-07,,,
2016-11-08,,,
2016-11-09,,,
2016-11-10,,,
2016-11-11,,,
2016-11-12,,,
2016-11-13,,,
2016-11-14,,,
2016-11-15,,,
2016-11-16,0.114,0.098,0.062
2016-11-17,,,
2016-11-18,0.148,0.129,0.084
2016-11-19,,,
2016-11-20,0.156,0.144,0.114
2016-11-21,0.14,0.124,0.086
2016-11-22,,,
2016-11-23,0.15,0.129,0.081
2016-11-24,,,
2016-11-25,0.149,0.128,0.08
2016-11-26,0.436,0.376,0.238
2016-11-27,0.123,0.112,0.087
2016-11-28,0.165,0.145,0.099
2016-11-29,0.208,0.185,0.132
2016-11-30,0.151,0.131,0.083
2016-12-01,,,
2016-12-02,0.056,0.049,0.032
2016-12-03,,,
2016-12-04,,,
2016-12-05,,,
2016-12-06,0.171,0.148,0.094
2016-12-07,0.133,0.116,0.077
2016-12-08,,,
2016-12-09,,,
2016-12-10,,,
2016-12-11,0.189,0.163,0.102
2016-12-12,0.245,0.226,0.179
2016-12-13,0.118,0.106,0.078
2016-12-14,0.108,0.096,0.069
2016-12-15,,,
2016-12-16,0.088,0.077,0.053
2016-12-17,,,
2016-12-18,0.092,0.08,0.052
2016-12-19,,,
2016-12-20,,,
2016-12-21,,,
2016-12-22,0.238,0.205,0.129
2016-12-23,0.124,0.109,0.074
2016-12-24,,,
2016-12-25,0.149,0.128,0.08
2016-12-26,,,
2016-12-27,,,
2016-12-28,0.566,0.488,0.307
2016-12-29,0.391,0.338,0.214
2016-12-30,,,
2016-12-31,0.172,0.148,0.093
2017-01-01,,,
2017-01-02,0.026,0.024,0.019
2017-01-03,,,
2017-01-04,0.221,0.192,0.124
2017-01-05,0.17,0.152,0.111
2017-01-06,0.199,0.174,0.116
2017-01-07,0.142,0.124,0.08
2017-01-08,,,
2017-01-09,0.04,0.036,0.025
2017-01-10,,,
2017-01-11,0.072,0.063,0.041
2017-01-12,0.362,0.337,0.278
2017-01-13,,,
2017-01-14,,,
2017-01-15,0.241,0.208,0.132
2017-01-16,,,
2017-01-17,,,
2017-01-18,,,
2017-01-19,0.227,0.202,0.144
